2019-09-19 00:11:21,790 INFO [root] [base.py (__init__:20] - 初始化的driver <appium.webdriver.webdriver.WebDriver (session="b2abdea0-367e-47ce-b638-3660f6f9fe3d")>
2019-09-19 00:11:21,794 INFO [root] [base.py (__init__:20] - 初始化的driver <appium.webdriver.webdriver.WebDriver (session="b2abdea0-367e-47ce-b638-3660f6f9fe3d")>
2019-09-19 00:11:21,797 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/img_close') 等待时间10查找频率0.5
2019-09-19 00:11:23,186 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/tab_me') 等待时间10查找频率0.5
2019-09-19 00:11:25,679 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/textView1') 等待时间10查找频率0.5
2019-09-19 00:11:28,933 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/logon_account_textview')，输入的信息cheng_heng_fei
2019-09-19 00:11:28,933 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/logon_account_textview') 等待时间10查找频率0.5
2019-09-19 00:11:31,381 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/logon_password_textview')，输入的信息123456
2019-09-19 00:11:31,383 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/logon_password_textview') 等待时间10查找频率0.5
2019-09-19 00:11:35,348 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/logon_button') 等待时间10查找频率0.5
2019-09-19 00:11:38,012 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 等待时间10查找频率0.5
2019-09-19 00:11:39,870 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/setting_address_manage') 等待时间10查找频率0.5
2019-09-19 00:11:42,191 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_add_new_btn') 等待时间10查找频率0.5
2019-09-19 00:11:43,639 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_receipt_name')，输入的信息张三
2019-09-19 00:11:43,640 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_receipt_name') 等待时间10查找频率0.5
2019-09-19 00:11:47,575 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_add_phone')，输入的信息13300008888
2019-09-19 00:11:47,577 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_add_phone') 等待时间10查找频率0.5
2019-09-19 00:11:49,783 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_province') 等待时间10查找频率0.5
2019-09-19 00:11:50,516 INFO [root] [base.py (base_find:28] - 查找的元素('xpath', "//*[contains(@text,'天津市')]") 等待时间10查找频率0.5
2019-09-19 00:11:52,270 INFO [root] [base.py (base_find:28] - 查找的元素('class name', 'android.widget.RelativeLayout') 等待时间10查找频率0.5
2019-09-19 00:11:53,089 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/area_title') 等待时间10查找频率0.5
2019-09-19 00:11:53,748 INFO [root] [base.py (base_find:28] - 查找的元素('xpath', "//*[contains(@text,'南开区')]") 等待时间10查找频率0.5
2019-09-19 00:11:55,610 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_detail_addr_info')，输入的信息白云道观白云庵
2019-09-19 00:11:55,611 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_detail_addr_info') 等待时间10查找频率0.5
2019-09-19 00:11:57,487 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_post_code')，输入的信息100020
2019-09-19 00:11:57,489 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_post_code') 等待时间10查找频率0.5
2019-09-19 00:11:59,706 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_default') 等待时间10查找频率0.5
2019-09-19 00:12:00,343 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/button_send') 等待时间10查找频率0.5
2019-09-19 00:12:01,151 INFO [root] [base.py (base_finds:38] - 查找的元素('id', 'com.yunmall.lc:id/receipt_name') 等待时间3查找频率0.5
2019-09-19 00:12:04,829 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 等待时间10查找频率0.5
2019-09-19 00:12:05,029 INFO [root] [base.py (base_finds:38] - 查找的元素('xpath', "//*[contains(@text,'修改')]") 等待时间10查找频率0.5
2019-09-19 00:12:05,593 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_receipt_name')，输入的信息李四
2019-09-19 00:12:05,593 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_receipt_name') 等待时间10查找频率0.5
2019-09-19 00:12:09,832 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_add_phone')，输入的信息13811119999
2019-09-19 00:12:09,833 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_add_phone') 等待时间10查找频率0.5
2019-09-19 00:12:12,503 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_province') 等待时间10查找频率0.5
2019-09-19 00:12:13,153 INFO [root] [base.py (base_find:28] - 查找的元素('xpath', "//*[contains(@text,'福建省')]") 等待时间10查找频率0.5
2019-09-19 00:12:14,408 INFO [root] [base.py (base_find:28] - 查找的元素('xpath', "//*[contains(@text,'莆田市')]") 等待时间10查找频率0.5
2019-09-19 00:12:15,292 INFO [root] [base.py (base_find:28] - 查找的元素('xpath', "//*[contains(@text,'涵江区')]") 等待时间10查找频率0.5
2019-09-19 00:12:16,187 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_detail_addr_info')，输入的信息白马寺回龙观
2019-09-19 00:12:16,188 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_detail_addr_info') 等待时间10查找频率0.5
2019-09-19 00:12:18,941 INFO [root] [base.py (base_input:52] - 正在输入信息的文本框('id', 'com.yunmall.lc:id/address_post_code')，输入的信息100010
2019-09-19 00:12:18,943 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/address_post_code') 等待时间10查找频率0.5
2019-09-19 00:12:21,354 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/button_send') 等待时间10查找频率0.5
2019-09-19 00:12:21,931 INFO [root] [base.py (base_finds:38] - 查找的元素('id', 'com.yunmall.lc:id/receipt_name') 等待时间3查找频率0.5
2019-09-19 00:12:22,939 INFO [root] [base.py (base_finds:38] - 查找的元素('id', 'com.yunmall.lc:id/receipt_name') 等待时间3查找频率0.5
2019-09-19 00:12:23,053 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 等待时间10查找频率0.5
2019-09-19 00:12:23,157 INFO [root] [base.py (base_finds:38] - 查找的元素('xpath', "//*[contains(@text,'删除')]") 等待时间10查找频率0.5
2019-09-19 00:12:23,856 INFO [root] [base.py (base_find:28] - 查找的元素('id', 'com.yunmall.lc:id/ymdialog_left_button') 等待时间10查找频率0.5
2019-09-19 00:12:24,865 INFO [root] [base.py (base_finds:38] - 查找的元素('id', 'com.yunmall.lc:id/receipt_name') 等待时间3查找频率0.5
